room,duration,available_time,occupancy_percentage,avg_duration_per_day
NH 115,140985.0,241920,58.3,279.73214285714283
ZI A138,91710.0,157920,58.1,278.7537993920973
NH 209,148830.0,257760,57.7,277.1508379888268
CR 3A,139800.0,242880,57.6,276.2845849802371
ITC 3-131,1380.0,2400,57.5,276.0
CR 3E,131835.0,229440,57.5,275.80543933054395
CR 4724C,4950.0,8640,57.3,275.0
NH 205,135885.0,238080,57.1,273.9616935483871
ZI W1,61815.0,108480,57.0,273.51769911504425
CU B205C,2985.0,5280,56.5,271.3636363636364
GY 1.86-1.88 Ideate,21900.0,38880,56.3,270.3703703703704
GY 1.81a Conceptualize,12165.0,21600,56.3,270.3333333333333
VR 256 (Library),1080.0,1920,56.2,270.0
ZZ RA 2501/T,810.0,1440,56.2,270.0
CR 4624,1620.0,2880,56.2,270.0
VR 248 (Library),1080.0,1920,56.2,270.0
VR 247 (Library),1080.0,1920,56.2,270.0
VR 257 (Library),1080.0,1920,56.2,270.0
WH 217,54525.0,97440,56.0,268.5960591133005
NH 124,115200.0,207360,55.6,266.6666666666667
ZZ CU C238/T,1065.0,1920,55.5,266.25
OH 113,125475.0,226560,55.4,265.8368644067797
ZI W4,33630.0,60960,55.2,264.8031496062992
ZZ RA 3231/T,5565.0,10080,55.2,265.0
CR 2H,120990.0,219360,55.2,264.7483588621444
GY 1.86-1.88 (semi-open projectruimte Ideate),11355.0,20640,55.0,264.06976744186045
CR 2L,130005.0,236640,54.9,263.70182555780934
CR 2M,131550.0,239520,54.9,263.62725450901803
CR 2G,122505.0,223680,54.8,262.8862660944206
CR 4724D,4725.0,8640,54.7,262.5
VR 275T (Library),1305.0,2400,54.4,261.0
VR 275R (Library),1305.0,2400,54.4,261.0
CR 4022A,14625.0,26880,54.4,261.1607142857143
HB 2B,120075.0,220800,54.4,261.0326086956522
OH 115,125385.0,230880,54.3,260.6756756756757
CR 2K,111990.0,206400,54.3,260.4418604651163
ITC 3-008,46320.0,85440,54.2,260.2247191011236
HB 2D,119430.0,220800,54.1,259.6304347826087
HB 2E,106260.0,197760,53.7,257.9126213592233
OH 111,122655.0,228960,53.6,257.1383647798742
ZI W3,37530.0,70080,53.6,257.05479452054794
VR Amphitheater,4860.0,9120,53.3,255.78947368421052
CR 4022B,11250.0,21120,53.3,255.6818181818182
RA 2504,121125.0,227520,53.2,255.5379746835443
WH 215,82290.0,154560,53.2,255.55900621118013
VR 275P (Library),510.0,960,53.1,255.0
OH 116,106950.0,201600,53.1,254.64285714285714
ZZ CI T300/T,510.0,960,53.1,255.0
CR 4A,113550.0,215520,52.7,252.89532293986636
RA 2231,106875.0,203040,52.6,252.6595744680851
CR 3D,116070.0,221280,52.5,251.77874186550977
SP 4,106425.0,203040,52.4,251.59574468085106
CR 3B,116640.0,222720,52.4,251.3793103448276
ZZ EXTERN,23325.0,44640,52.3,250.80645161290323
RA 3231,115665.0,221280,52.3,250.9002169197397
RA 2502,115545.0,221280,52.2,250.63991323210413
HT 500A,108150.0,207840,52.0,249.7690531177829
ZI W2,43470.0,83520,52.0,249.82758620689654
SP 5,105450.0,203520,51.8,248.70283018867926
RA 4336,103125.0,199680,51.6,247.8966346153846
RA 4237,111705.0,218400,51.1,245.5054945054945
HT 700B,105915.0,207840,51.0,244.60739030023095
ZZ RA 4231/T,7080.0,13920,50.9,244.13793103448276
CR 3H,106470.0,209280,50.9,244.19724770642202
ZZ WH 215/T,2190.0,4320,50.7,243.33333333333334
ZZ CR 3F/T,8235.0,16320,50.5,242.2058823529412
RA 5110,35370.0,70080,50.5,242.26027397260273
CR 4724A,3150.0,6240,50.5,242.30769230769232
CR 4724B,3150.0,6240,50.5,242.30769230769232
CR 2N,116895.0,231840,50.4,242.01863354037266
SP 3,104475.0,207360,50.4,241.84027777777777
GY 1.79 Inform,22155.0,44160,50.2,240.81521739130434
CR 3C,107475.0,214080,50.2,240.97533632286996
SP 6,110445.0,220800,50.0,240.09782608695653
ZZ HB 2E/T,11745.0,23520,49.9,239.69387755102042
RA 4231,102105.0,206400,49.5,237.45348837209303
ITC 3-141,3795.0,7680,49.4,237.1875
OH 218,109410.0,221280,49.4,237.33188720173536
ZZ SP 7/T,4005.0,8160,49.1,235.58823529411765
RA 4411,38835.0,79200,49.0,235.36363636363637
CI T300,75105.0,153120,49.0,235.43887147335423
ZZ RA 4336/T,8220.0,16800,48.9,234.85714285714286
WH 223,9840.0,20160,48.8,234.28571428571428
CU B200A,75705.0,155520,48.7,233.65740740740742
RA 2334,92730.0,190560,48.7,233.57682619647355
ZZ HT 700A/T,5835.0,12000,48.6,233.4
HB 2A,95115.0,195840,48.6,233.125
RA 3334,84030.0,172800,48.6,233.41666666666666
CR 4028B,6300.0,12960,48.6,233.33333333333334
RA 5148,35610.0,73440,48.5,232.7450980392157
RA 3112,32340.0,66720,48.5,232.66187050359713
HT 900,94560.0,194880,48.5,232.9064039408867
HT 1100,89385.0,184320,48.5,232.7734375
RA 2314,33315.0,68640,48.5,232.97202797202797
RA 3336,89760.0,185280,48.4,232.53886010362694
CU PC-zaal 1,58695.0,121440,48.3,231.99604743083003
RA 2237,88065.0,182400,48.3,231.75
RA 4247,38010.0,78720,48.3,231.76829268292684
HB 2F,96555.0,200160,48.2,231.54676258992805
RA 4334,90480.0,187680,48.2,231.4066496163683
HB 2C,96540.0,201120,48.0,230.4057279236277
ZZ OH 112/T,6450.0,13440,48.0,230.35714285714286
OH 110,102210.0,213120,48.0,230.2027027027027
ZZ OH 114/T,4830.0,10080,47.9,230.0
RA 3245,34035.0,71040,47.9,229.96621621621622
HT 500B,91620.0,192000,47.7,229.05
RA 2336,85185.0,180480,47.2,226.55585106382978
CU B209,87945.0,186240,47.2,226.66237113402062
ZZ OH 110/T,6555.0,13920,47.1,226.0344827586207
CU PC-zaal 2,53700.0,114240,47.0,225.63025210084032
GY 0.98 Capture,225.0,480,46.9,225.0
VR 1.23 (Library),1350.0,2880,46.9,225.0
VR 1.20 (Library),1350.0,2880,46.9,225.0
ZI W3B,1125.0,2400,46.9,225.0
VR 1.19 (Library),1350.0,2880,46.9,225.0
ZI W3A,1125.0,2400,46.9,225.0
VR 275Q (Library),225.0,480,46.9,225.0
CR 4022C,7425.0,15840,46.9,225.0
CR 4028A,9450.0,20160,46.9,225.0
VR 583,51495.0,110400,46.6,223.8913043478261
VR 275B (previously VR 2.02) (Library),8040.0,17280,46.5,223.33333333333334
VR 275E (previously VR 2.04) (Library),8040.0,17280,46.5,223.33333333333334
ZZ HT 700B/T,3570.0,7680,46.5,223.125
SP 2,90855.0,195840,46.4,222.68382352941177
VR 1.14 (Library),7080.0,15360,46.1,221.25
VR 193D (previously VR 1.14) (Library),7305.0,15840,46.1,221.36363636363637
RA 4110,36945.0,80160,46.1,221.22754491017963
VR 2.13 (Library),7080.0,15360,46.1,221.25
VR 1.12 (Library),7080.0,15360,46.1,221.25
VR 2.14 (Library),7080.0,15360,46.1,221.25
GY 1.79 Inform (gesloten ruimte),15885.0,34560,46.0,220.625
ZZ RA 4334/T,7290.0,15840,46.0,220.9090909090909
HT 700A,82695.0,180480,45.8,219.93351063829786
WA 3,92475.0,202080,45.8,219.65558194774346
VR 559,52950.0,116160,45.6,218.80165289256198
ZZ RA 3334/T,5445.0,12000,45.4,217.8
ZZ HB 2F/T,9150.0,20160,45.4,217.85714285714286
VR 275F (previously VR 2.05) (Library),8250.0,18240,45.2,217.10526315789474
VR 275C (previously VR 2.03) (Library),8250.0,18240,45.2,217.10526315789474
HT 1113,30960.0,68640,45.1,216.5034965034965
HT 1105,31950.0,71040,45.0,215.8783783783784
ZZ HB 2B/T,6915.0,15360,45.0,216.09375
HT 1107,31665.0,70560,44.9,215.40816326530611
HT 1111,31065.0,69120,44.9,215.72916666666666
ZZ HB 2D/T,10350.0,23040,44.9,215.625
ZZ OH 210/T,12255.0,27360,44.8,215.0
VR 275Q (previously VR 2.14) (Library),8805.0,19680,44.7,214.7560975609756
VR 275P (previously VR 2.13) (Library),8580.0,19200,44.7,214.5
VR 275G (previously VR 2.06) (Library),8580.0,19200,44.7,214.5
ZZ CR 4A/T,7290.0,16320,44.7,214.41176470588235
HT 1109,29775.0,66720,44.6,214.20863309352518
ZZ RA 4237/T,6825.0,15360,44.4,213.28125
ZZ HB 2A/T,10185.0,23040,44.2,212.1875
RA 2209,18870.0,42720,44.2,212.02247191011236
SP 1,72195.0,163200,44.2,212.33823529411765
ZZ HB 2C/T,6780.0,15360,44.1,211.875
SP 7,70560.0,159840,44.1,211.8918918918919
OH 112,78810.0,179040,44.0,211.28686327077747
VR 501,49260.0,111840,44.0,211.41630901287553
RA 2503,63270.0,144000,43.9,210.9
HR C101,79830.0,181920,43.9,210.63324538258576
VR 275H (previously VR 2.07) (Library),840.0,1920,43.8,210.0
ZZ WH 217/T,420.0,960,43.8,210.0
ZZ RA 2237/T,1260.0,2880,43.8,210.0
ZZ RA 2231/T,1260.0,2880,43.8,210.0
RA 1501,78750.0,180000,43.8,210.0
ITC 1-030,420.0,960,43.8,210.0
CU B103,76395.0,175200,43.6,209.3013698630137
VR 275O (previously VR 2.12) (Library),8790.0,20160,43.6,209.28571428571428
VR 275J (previously VR 2.08) (Library),8565.0,19680,43.5,208.90243902439025
VR 275L (previously VR 2.10) (Library),8340.0,19200,43.4,208.5
VR 275K (previously VR 2.09) (Library),8340.0,19200,43.4,208.5
VR 1.01 (Library),1455.0,3360,43.3,207.85714285714286
ZZ CR 3H/T,5595.0,12960,43.2,207.22222222222223
ZZ SP 1/T,1035.0,2400,43.1,207.0
VR 275M (previously VR 2.11) (Library),8670.0,20160,43.0,206.42857142857142
ZZ HT 500A/T,2475.0,5760,43.0,206.25
VR 193A (previously VR 1.12) (Library),7830.0,18240,42.9,206.05263157894737
VR 2.10 (Library),7605.0,17760,42.8,205.54054054054055
VR 2.09 (Library),7605.0,17760,42.8,205.54054054054055
VR 2.08 (Library),7605.0,17760,42.8,205.54054054054055
ZZ OH 116/T,9645.0,22560,42.8,205.2127659574468
ZZ WA 1/T,2055.0,4800,42.8,205.5
ZZ HT 500B/T,615.0,1440,42.7,205.0
ZZ CR 3D/T,7590.0,17760,42.7,205.13513513513513
CU C238,72045.0,169440,42.5,204.09348441926346
ZZ RA 3336/T,5085.0,12000,42.4,203.4
VR 2.03 (Library),7710.0,18240,42.3,202.89473684210526
VR 2.02 (Library),7710.0,18240,42.3,202.89473684210526
VR 2.06 (Library),7710.0,18240,42.3,202.89473684210526
VR 2.05 (Library),7710.0,18240,42.3,202.89473684210526
VR 2.04 (Library),7710.0,18240,42.3,202.89473684210526
CU B101,74775.0,178560,41.9,201.00806451612902
ZZ CR 2H/T,6630.0,15840,41.9,200.9090909090909
HR N109,73215.0,174720,41.9,201.1401098901099
ZZ CR 3A/T,4410.0,10560,41.8,200.45454545454547
ZZ RA 2502/T,13020.0,31200,41.7,200.30769230769232
ZZ NH 207/T,16755.0,40320,41.6,199.46428571428572
ZZ CR 2M/T,7755.0,18720,41.4,198.84615384615384
RA 2501,76830.0,186240,41.3,198.01546391752578
ZZ CR 3B/T,5745.0,13920,41.3,198.10344827586206
CR 3F,56595.0,137280,41.2,197.8846153846154
VR Audiozaal,31080.0,75360,41.2,197.96178343949043
ZZ CR 2L/T,5490.0,13440,40.8,196.07142857142858
ZZ HT 900/T,6255.0,15360,40.7,195.46875
HT 1215,1560.0,3840,40.6,195.0
HT 811,2340.0,5760,40.6,195.0
ZZ SP 6/T,1935.0,4800,40.3,193.5
HT 813,4440.0,11040,40.2,193.04347826086956
HT 809,2115.0,5280,40.1,192.27272727272728
ZZ NH 115/T,10380.0,25920,40.0,192.22222222222223
ZZ RA 2504/T,8430.0,21120,39.9,191.5909090909091
WA 4,55230.0,139200,39.7,190.44827586206895
ZZ CR 2K/T,11985.0,30240,39.6,190.23809523809524
ZZ NH 209/T,16380.0,41760,39.2,188.27586206896552
ZZ HT 1100/T,8445.0,21600,39.1,187.66666666666666
ZZ OH 113/T,8220.0,21120,38.9,186.8181818181818
ZZ CR 3E/T,5400.0,13920,38.8,186.20689655172413
ZZ NH 205/T,19830.0,51360,38.6,185.3271028037383
ZZ RA 2336/T,2220.0,5760,38.5,185.0
ZZTCP VR SL3,7170.0,18720,38.3,183.84615384615384
ZZ OH 218/T,22695.0,59520,38.1,183.0241935483871
ZZTCP VR 501,2190.0,5760,38.0,182.5
WA 1,37530.0,99840,37.6,180.43269230769232
ZZ VR 559/T,540.0,1440,37.5,180.0
ZZ VR 583/T,360.0,960,37.5,180.0
ZZ VR Audiozaal/T,180.0,480,37.5,180.0
ZZ HR N109/T,180.0,480,37.5,180.0
ZZ CU B209/T,180.0,480,37.5,180.0
ZZ CR 2G/T,2340.0,6240,37.5,180.0
ZZ CR 2N/T,6450.0,17280,37.3,179.16666666666666
ZZ NH 124/T,11265.0,30240,37.3,178.8095238095238
ZZ SP 3/T,14865.0,39840,37.3,179.09638554216866
HT 1015,16740.0,45120,37.1,178.08510638297872
ZZ SP 4/T,12795.0,34560,37.0,177.70833333333334
HT 1013,16620.0,45120,36.8,176.80851063829786
ZZ RA 2334/T,1590.0,4320,36.8,176.66666666666666
ZZ OH 211/T,7755.0,21120,36.7,176.25
HT 1011,16170.0,44160,36.6,175.7608695652174
WA 2,48870.0,133440,36.6,175.79136690647482
ZZ CU B101/T,2085.0,5760,36.2,173.75
ZZ RA 1501/T,870.0,2400,36.2,174.0
ZZ CR 3C/T,8670.0,24000,36.1,173.4
ZZTCP VR SL2,5340.0,14880,35.9,172.25806451612902
ZZ SP 5/T,5505.0,15360,35.8,172.03125
ZZ CU B103/T,1710.0,4800,35.6,171.0
ZZ OH 215/T,14175.0,40800,34.7,166.76470588235293
SP PR 4,330.0,960,34.4,165.0
SP PR 2,330.0,960,34.4,165.0
VR 193K (Library),495.0,1440,34.4,165.0
VR 275O (Library),330.0,960,34.4,165.0
VR 193A (Library),495.0,1440,34.4,165.0
VR 191B (Library),495.0,1440,34.4,165.0
VR 275M (Library),330.0,960,34.4,165.0
ZZTCP VR SL1,5880.0,17280,34.0,163.33333333333334
HT 1001,13545.0,39840,34.0,163.19277108433735
VR 191B (previously VR 1.23) (Library),1470.0,4320,34.0,163.33333333333334
HT 1007,13650.0,40320,33.9,162.5
ZZ OH 115/T,12330.0,36480,33.8,162.23684210526315
HT 1005,13425.0,39840,33.7,161.74698795180723
HT 1009,13200.0,39840,33.1,159.03614457831324
VR Agora,10170.0,30720,33.1,158.90625
HT 1003,12195.0,36960,33.0,158.37662337662337
ZZTCP VR 583,1875.0,5760,32.6,156.25
ZZTCP VR 559,1710.0,5280,32.4,155.45454545454547
ZZ RA 2503/T,465.0,1440,32.3,155.0
HT 815,1860.0,5760,32.3,155.0
HT 1103,14070.0,43680,32.2,154.6153846153846
ZZ OH 111/T,8205.0,25920,31.7,151.94444444444446
HT 1101,14085.0,44640,31.6,151.4516129032258
VR 275R (previously VR 2.15) (Library),1365.0,4320,31.6,151.66666666666666
HT 1115,12540.0,39840,31.5,151.0843373493976
ZZ VR 501/T,300.0,960,31.2,150.0
ITC 0-146,585.0,1920,30.5,146.25
WA 1+2,9375.0,31200,30.0,144.23076923076923
RA 4108,855.0,2880,29.7,142.5
RA 5108,750.0,2880,26.0,125.0
ITC 0-143,14400.0,55680,25.9,124.13793103448276
VR 193K (previously VR 1.20) (Library),855.0,3360,25.4,122.14285714285714
RA 4409,960.0,3840,25.0,120.0
ZZ SP 2/T,120.0,480,25.0,120.0
GY 0.97 Invite,120.0,480,25.0,120.0
VR 258 (previously VR 2.E) (Library),1065.0,4320,24.7,118.33333333333333
ITC 5-144,915.0,3840,23.8,114.375
ZZ WA 4/T,420.0,1920,21.9,105.0
ITC 5-002,525.0,2400,21.9,105.0
RA 3411,105.0,480,21.9,105.0
ZZ WA 2/T,315.0,1440,21.9,105.0
VR 2.15 (Library),105.0,480,21.9,105.0
VR 275L (Library),105.0,480,21.9,105.0
VR 256 (previously VR 2.C) (Library),735.0,3360,21.9,105.0
VR 275K (Library),105.0,480,21.9,105.0
VR 275J (Library),105.0,480,21.9,105.0
VR 275H (Library),105.0,480,21.9,105.0
VR 2.07 (Library),735.0,3360,21.9,105.0
VR 258 (Library),315.0,1440,21.9,105.0
VR 257 (previously VR 2.D) (Library),840.0,3840,21.9,105.0
VR 248 (previously VR 2.B) (Library),735.0,3360,21.9,105.0
VR 2.A (Library),315.0,1440,21.9,105.0
VR 2.11 (Library),945.0,4320,21.9,105.0
VR 247 (previously VR 2.A) (Library),735.0,3360,21.9,105.0
VR 2.12 (Library),630.0,2880,21.9,105.0
VR 2.E (Library),315.0,1440,21.9,105.0
VR 2.D (Library),315.0,1440,21.9,105.0
VR 2.C (Library),315.0,1440,21.9,105.0
SP PR 3,210.0,960,21.9,105.0
VR 2.01 (Library),525.0,2400,21.9,105.0
VR 275T (previously VR 2.16) (Library),735.0,3360,21.9,105.0
VR 193N (previously VR 1.22) (Library),105.0,480,21.9,105.0
VR 193L (previously VR 1.21) (Library),210.0,960,21.9,105.0
VR 193J (previously VR 1.19) (Library),105.0,480,21.9,105.0
VR 193J (Library),210.0,960,21.9,105.0
VR 170 (previously VR 1.01) (Library),630.0,2880,21.9,105.0
VR 170 (Library),210.0,960,21.9,105.0
VR 1.22 (Library),210.0,960,21.9,105.0
VR 2.16 (Library),210.0,960,21.9,105.0
VR 1.21 (Library),210.0,960,21.9,105.0
VR 1.18 (Library),315.0,1440,21.9,105.0
VR 1.17 (Library),105.0,480,21.9,105.0
VR 1.16 (Library),105.0,480,21.9,105.0
VR 1.15 (Library),105.0,480,21.9,105.0
VR 1.13 (Library),105.0,480,21.9,105.0
VR 2.B (Library),315.0,1440,21.9,105.0
ZZ HR C101/T,300.0,1440,20.8,100.0
ZZTCP VR SL4,480.0,2400,20.0,96.0
